"#","Fecha","Documento","Cliente","Estado","Estado en Cartera","Metodo de Pago","Forma de Pago","Impuesto","Total","UUID","Notas"
"1782","2021-12-30 06:50:00","Factura de Venta Nacional","Farmacia Bolivar","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","13,100.00","8451736ae47ced34b52483c853b344b72a4882ecf4392bb017b135e70c7bb7752de1ad79dfc3626768bdf9d23c9cb69f",""
"1781","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria la 5E","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","79,154.00","3e0cf83ec752677fc05774b132cf0777d227ba9df2b0bcb145fb3b149893540e687d54afb004bb38eba361740f7c97d8",""
"1780","2021-12-30 06:50:00","Factura de Venta Nacional","Drog metropolitana del caribe","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","7,500.00","f859d6206b7ed5d34768b0088f6224b06c7f0063003a3c5f699e8251a1a4fe57338d5fdbc30ec602391b0445a2b05cb0",""
"1779","2021-12-30 06:50:00","Factura de Venta Nacional","Drog metropolitana del caribe","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","39,878.00","73edbc65cd2a3a5e0f8f626a3fd79ebb814bf207b17ba7d4a5abcd602352867d3d6a04c49ced9e107ec8746059468d8b",""
"1778","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria  Saema La paz","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","29,900.00","1c8e9f87f70bd2c7b67d8c079e16948f8c0a58a403c413bf95e99150f8bc3d772b02410e7b3fb75d48c8ac753fdaa987",""
"1777","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria York","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","71,400.00","1a900726e568c37327b96472f6bea7e63e35b2c74bdf58711c9a6579ca7cd496cc31856747a786bb4c42b2419008567a",""
"1776","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria La Prosperidad","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","61,125.00","a3e691c112ddbf637cfdfd065e5160f5b011a09ce958b801f93d6c876653029cb6def0fe154908b6fcd3aac574cff8df",""
"1775","2021-12-30 06:50:00","Factura de Venta Nacional","Farmavipa","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","120,971.00","b345a925f7d3530d28acc0f3ecb65c57f883d0bc32dbf27b7af098cf8f62ccf95b9de763f027cc411679f3db50171524",""
"1774","2021-12-30 06:50:00","Factura de Venta Nacional","Farmabrini","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","147,340.00","eb7b3b6639fb75254959768883480388ed77e18112a809cdad4bb6ba40046b880c475a761c72827630bd98d4f27deab5",""
"1773","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Colpharma","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","2,260,440.00","a74408bf77be25b09f338071e8cc1c18da59e8b6a83e2a68e48b2935ac4fe78e2908859761df02b1dbf647e4fb73c664",""
"1772","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Dami Farma","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","92,708.00","f4360059653f03097e3e1fe44b2c1b09712327087f2513d04d35d21250f23d077fcf24fb4b8a020d1fa0f992baa42410",""
"1771","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA Y SUPERMERCADO AL DIA","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","372,789.00","30eac4424cea0432464463c91f66a778ec0be1194b1384af4a74c01539d1498470421d21b37b072b22a435833c1016a6",""
"1770","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA NUESTRA SALUD","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","119,350.00","460a196c6e4d12f6daf39572a0cc1873b2371e1b9c7058cdd88982cbb90d7efd3ff0805cedf54f2652fb9a6d0086a4a5",""
"1768","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Jayes","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","75,485.00","40f8014fa3ffaeb35e0956044df05e7d7951f2c1ca7f9146e2b220538436947796d92e73d24266e84a856eee66708acc",""
"1767","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria DeiDey","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","57,200.00","feffc41d76878dcdfa3b34a4c8e0541a912dbd25d20d23dc9e9a828cfdc57147c6dc4f4f112448010d728f404fafec01",""
"1766","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería y miscelanea la 9","Enviada a la DIAN","Pendiente","Efectivo","Contado","2,924.48","37,694.48","43df64ecdf563cde7b13f65a7ddfeadc3299aba6f942445a73222f571b8d759702dce4181d5cd191f8ec5afdab7e6cc9",""
"1765","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería principal de los almendros ","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","129,656.00","6f45ec76436259db13fa2e02fbfd25bcfd1f2b5854c21e0d8fe3baea6820a847895762ee23f993b3d5a9e1b0be2287d3",""
"1764","2021-12-30 06:50:00","Factura de Venta Nacional","D. WENDY","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","118,552.00","9aed6be983694aec0335b361fb329594bd36dc79d1c8b4b20649dffe62ddb0ff2b023bc3ff145bf854d36d7cd57077b8",""
"1763","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería el universitario#2","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","87,400.00","d0785d6c8c830907b0255c58e3269270b418f628e2f4cd4287482c7c5bade0d3ba42673ae9ca60aef188ef6977c19ab7",""
"1762","2021-12-30 06:50:00","Factura de Venta Nacional","Drogas merly","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","97,992.00","14b836ffc64dc97d874682a504fbacd749a8a27473c198663fd78c1b498a8a7d73a99f59ca9028dfa70585f122b4226e",""
"1761","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA LA FARMY PLUS","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","54,100.00","a44c824023e1f953395e03990c1239f7857c719b58d656243d4aaa124900795d905d0c297a81e6fe47678ab0db4a72ad",""
"1760","2021-12-30 06:50:00","Factura de Venta Nacional","FARMACIA PUERTO MILLO","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","247,184.00","d17ecec1a934f6f3fa4e9b21bc29c055e69a42d7fdde5fd2cdc4a6603f4f163a84927a5616c3c77d080f2da14691e296",""
"1759","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Morelia s","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","78,396.00","d3c843bda84699236984b214a4ba6a8eceaca4ae4f42e35e646e74a5c6dc98c3371b446be323184982ef9925be50956b",""
"1758","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería el universitario#2","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","39,164.00","e597d55f4b72d517d97e841c96a5550f6738a3010ff28c81e97f0585872074824a35324b647089c5b49c50fd4316fd3c",""
"1757","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Jerusalema","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","14,931.00","2efd8d6b5f5bd2636c2ed9402098054d0b7290c5f43d2188b888854c6203b00fe7fcad60fcca9707b45d668cdee70701",""
"1756","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería medimar","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","301,657.00","1585856f1be09f5d16619940aca36daafd81d636751051e892ce023a185d5a186fec562abed8b8273d96e5c4edb73150",""
"1755","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería naelpharma","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","88,386.00","0bd177afdc6454f96ad35a6460f3a29e24c67bf44f92ac79ce798063ec37971a8791daf6eeaa7a7abb41a507b1d69d87",""
"1754","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Jerusalema","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","256,056.00","178a385b44dca5f011d2ee831379e5318a47f202f1ce5a7e9f68c170f8571c57d60a00e2f80b56d7a4802a38b835f76e",""
"1753","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA DEL NORTE","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","165,753.00","825a6398bc5325b4504a2a563474a2bc43a2abb86f106c4beab67cb5390b59ba5f521517f5feca9d2d3195e03b278731","Se realiza cambio de marca en las JERINGA HIPODERMICA 5 ML X 21G X1 1/2 X 100, se envía la marca PRECISSION CARE Manteniendo el precio mas económico."
"1752","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA BIOGREEN","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","32,603.00","871cbe6cb185f0c65d0b130c94f687bec89f418e89a5ee94198a8f2a2d0088bfec1ece6ab3d374c3a80b9eab5ad3c500",""
"1751","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería York","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","184,614.00","d26e2ef74de86eca8a8cb13040e991414f7cf32b651dea5c6b0e3f33baea325e53b0c3a63c7e3fce97410a17ca37e364",""
"1750","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria natalia","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","78,200.00","d7efee304cda3e0bec3e1b7d298c76fccfc5deb2049abc4a8465e95de9a7e438f198ce51b7fffa59120cc5fd23e8bc58",""
"1749","2021-12-30 06:50:00","Factura de Venta Nacional","Dist. JJ san miguel","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","66,699.00","b768c1bea9a77f8d4602cfb1d57182db165694418a0456869cb3a70622f621ee0ca73a2802100a008bea679bfa38467c",""
"1748","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria RyR florian Centro","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","10,344.00","ff09d5ca5aa25a975408a6c1d3596a0f386a1aa208e06441ecd5f1645cd52f05819e299ea108082a068ab2397a672b28",""
"1747","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA E INVERSIONES PAULA CH","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","296,872.00","ece022bccaf41a46cbff5984867668b32b89e542b213ab9d707bc15249cb1383c69153b9a4d7a89e1dc244a4e7f5f004",""
"1746","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria RyR florian C20 julio","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","193,928.00","3058986afef52099259472e89a7e9ee6e939db05aff3039383678be7a452aa31f3dd923ea1c79a1c065be6408eb5e478",""
"1745","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería el milagro","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","166,193.00","48096dca2a3430c0627e0701e806c281b430ee72a45fe79cdeef95d67a63f792d793addc9701a043582d94b219a2c647",""
"1744","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria RyR florian Centro","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","10,344.00","0e06b2cbd16314c7a1ee95a47c9c878306d424a5f64825903a2afcb5a05ddac1ea2886db8c54dc5f262b310fd61510fc",""
"1743","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria RyR florian Centro","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","436,578.00","e9afb52d26688864841bf886b1f2d754903384cd58a9273da1dc95474677fa2ae7061ff11af8fc315c9e0566d02b2b57",""
"1742","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA SAMIR #1","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","79,316.00","8ad58f829800d4059202a7f671b9db218e78654e8ebc23e02f8751952042ff7514402bbfae1e2650f5c1da0399316185",""
"1741","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA SUPERFARMA PLUS","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","127,116.00","29183ca5d777968f1e5a92d6850757e25709e2bdfe6ba66d12e940b032bdbe98e1915613e6e26c6f2e9e4de6594c5b2e",""
"1740","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Santamarta","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","31,800.00","248cbf0b32d26cd062a5640ed24d1ed2bcee5556fc9f7a1de43479e70e8e26112bd385faeb7f02f51944739bbf7d3eb0",""
"1739","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Santamarta","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","122,017.00","00c8610abdb160cd179e112d8d0bf549c9f5aea83510eee464f7e330ed41a9b0707c9aa74694e33753bfdfb867e2451c",""
"1738","2021-12-30 06:50:00","Factura de Venta Nacional","GRUPO A.C.Y S.A.S","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","56,167.00","8a5ab9adc33664e50668093156b0cbca70a311cd8f38f354787b545e8d972a06072758d244ddd47b20db9b9a253e8de9",""
"1737","2021-12-30 06:50:00","Factura de Venta Nacional","Drogas El Proveedor","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","164,200.00","95b5d3479106d1ce9a2af31aaecbcc9462f95d8a44e0863adf72fdfad43e5b48563c2474cda54cbe37f32a315224d06a",""
"1736","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería pharma Sierra","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","29,838.00","a39a923aee2b35d68a2b4659fad88f8ec7ab5de525348fc9f2823b90747aba4ba5e77ec8f84215a097b51ac4edb193c2",""
"1735","2021-12-30 06:50:00","Factura de Venta Nacional","Drog San Diego oliveira","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","40,052.00","e9e0898a17dec53602a08b5cc57b313c7dc20cd57a516c2e126337b1acf6eda8c3aaaedaf1e5c6c9a8af9dad8abaa0fc",""
"1734","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería pharma Sierra","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","83,393.00","183df881786aa3413e639e88a3491f7b4796d42e2c0a26ce10595babeaf4ea25d37a8e511fe7d4909ee46325605df1b5",""
"1733","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Santamarta","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","138,025.00","a3c9d2a8f27b1f9becd5aeaadee27711c84311e2cd125eb29e8a9ed096147b2687ef6fd151c2410c01fbcc66f672517a",""
"1732","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA MEDIFARMA","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","34,480.00","4e5ebc4970df7b412b4e1301c1986e438e2177e3aaab6ff301c871ae08549176761e4e17199a21e8bf09adad82645067",""
"1731","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Lyon ","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","32,503.00","d5355d6e6add9e53348fe60f94bfb6e819146937b41c40ef148073efd2a935a161ee4b5de54bd37b3ff87c999f804f19",""
"1730","2021-12-30 06:50:00","Factura de Venta Nacional","D. IMPERIAL","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","43,937.00","f7dd890ee568cb732a96332bb143b2a3f405c788e0974114c0d2c2e6a4fc08b5c9b81a45b269fdc4ea5ebc4c0c53bf3d",""
"1729","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA VIA SALUD ","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","147,630.00","90e2a2ff1a9c7e31cfac147ddb238720af87cb083fb8798256a2e8146d834379f87672fb1b491d4de39d8e561d48c27e",""
"1728","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA MEDIPHARMA","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","66,757.00","bee4b1f1c9dce292327e5abe77c9040e6b251cc857028e7ef2206a6f0113f3302da3094ae7d2c8e56abd59436b1f464f",""
"1727","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Zarahay & G","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","94,979.00","d9db05e99163efd16bfd2b058daa0a9770a19149043b6cb364bcbc2bbacc51dd2e0ab1b79148efa069e2ce0ee2ca8774",""
"1726","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería Angui Farma","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","76,000.00","e81448bb2511bbc32bd5b96ea89ad2ccb1866f5ef21028119d77b16bb617a27d580c83ed789add87caf731f1cdab0870",""
"1725","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA SICARARE","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","171,134.00","5eabd456111a27e4b60ada92652d38f80297e56f3d398fadf3c0f60dde88c6649f7786912c056dca9569b2fa73b085af",""
"1724","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Ecofarma plus","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","40,842.00","6f2bfab9b532c00d08cbf2960a6d3cce0f7a708cc1e9a236506475e2bb1824623bd2631c4a734da6a84ef191ff6a8f89",""
"1723","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria El Progreso","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","53,500.00","91429bfe3e86b8338f9f13821daed3062a0410af438947c22aabe8f6aacbfebb550f080f258605a08154c7b68a33c68a",""
"1722","2021-12-30 06:50:00","Factura de Venta Nacional","SUPERDROGAS BIOMED","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","49,616.00","8cb594b515c12d9442f60437728da15b4387df5dcb2def8b08652d8f57eb536e442339143e7df14c140df0cfa1a51ae6",""
"1721","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria BRAY","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","144,598.00","9ee2526b6b136a238142e3a95458f263b1cb2d96ac78d1ca862ec2cab9d455bb7b559db64bb009ba4ad60282c0172406",""
"1720","2021-12-30 06:50:00","Factura de Venta Nacional","FARID DURAN","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","16,878.00","97a4f026dcd6edd569c7196ac709f8609c54fe9bae2218709aca62ec6d0a93a7a9d10fb74506d4ccf0d60d15516045c4",""
"1719","2021-12-30 06:50:00","Factura de Venta Nacional","INVERSIONES Y DISTRIBUCIONES DEL CARIBE","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","73,180.00","540d47d5a2e9fd4f8b5df89c449cc1ec09accc494f1d3677ecf64606527110a3d7bec673e1c499d5e37094c31da0b594",""
"1718","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA SUPERFARMA PLUS","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","49,500.00","708ad56bade7021590586cf243e136858eabc3fdf241f2fd582218536291e66c64ccc8e51ecafb3e6e63bb6ebff2f0ee",""
"1716","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA MEDIFARMA","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","20,026.00","197d951df0c6587ae0cf8bfe3643dba1724415a1156deae9674f33acdaff94176e4a489062eb84e1050c78441a9a6989",""
"1715","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA MEDIPHARMA","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","105,039.00","9a236d90330f7c55ee07e08162c41694e39204c88dc336b9e11eac4be84285127cba2f2b419b83dbbf49b9f57cfe5f30",""
"1714","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Vital Med","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","201,478.00","7c022c2ccfa9a0f1c44a5c76ea23b36a4b9cdf7d4d8ec30921ddcbea3766fb5bfc45ec981817e0a184e5c44989b7f630",""
"1713","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA MEGA FARMA PLUS ROS","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","338,347.00","49f458c2008772c64a19192e230d6b1301ea88d6434a51c87c6e9dcf1d5a1fa8112b5c3ae70bdfc25513ff687411bb7b",""
"1712","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Colpharma","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","56,140.00","916d1f0f8cc04c1fa39b8ee17b10540223d18462c7512952c9c363d492de60569c8be14cbd93b909d2cac9baf931b1c1",""
"1711","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Luis #4","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","53,440.00","fe02cd4a7621c560071268ca22b530c2de3848111f310b49841598832181bc0df999a57a00713e4f4bef44ede82813b0",""
"1710","2021-12-30 06:50:00","Factura de Venta Nacional","Distribuidora distrifarma","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","400,000.00","97712d4f25e1b55de0e3f607aa66ac322337347fcfea49e60dc2ab77a57f9ba664e47f5088c205f1141d881fa50c3885",""
"1709","2021-12-30 06:50:00","Factura de Venta Nacional","Dist. JJ san miguel","Enviada a la DIAN","Pendiente","Efectivo","Contado","4,840.63","84,651.63","f89628f92b0b6e0b6dd74a81517c82c58757f403bec0d208132f8bc61f47dc34169627ad7bf6256ab708bc527c582e31",""
"1708","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería santa Sofia","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","77,498.00","2873d72918bbaf019ebf8877fcb93de02e319a5c6b8940a0f68e48c4bead9b78935281616bd1677b2da85c522618012f",""
"1707","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria & Variedades A&C","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","38,764.00","c4a4f3ae460bb68a8ed79170f7c1c6e269af1439b026e951ddd135b05169c1f118e7e1378a58cae54e87b73ef55ce2fe",""
"1706","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueri FarmaSur V","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","143,906.00","eccfb35b79035046af5ffcc5d16028fce31c95315efe1cb9ca03bd793cf037c482ec0aaa6766a9c08b9ebe6c73c1b1ac",""
"1705","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA MEDIFARMA","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","102,359.00","00d04ab21da2c23f6c8fae7f7ac872f3e818762ee7597638dbc5b51cf876f15b7995cdf6937a6516bb35bc2198c7ccf8",""
"1704","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Regente Salud","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","1,432,623.00","074e92a682d417991f90e3d42344879cd943ededda47b68fb5c060cb85ab0b9503f733f224625f0061a869da16d64d13",""
"1703","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria Colpharma","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","2,346,666.00","e98462be6c7fcd29607d56b57751337693705b132a48588be630cadd5398189e40242bdc4001f7c82fc8cdca451ee476",""
"1702","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria farmaliam","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","582,744.00","288777370724389c72c1aaab6947c285ff7679a27d182e9736be09a4bba29ceb405fec9da8d41cee2af0f3482cdb9569",""
"1701","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria La Dosis","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","112,103.00","bf407745706f0c1701eb7810658ceaab4e3caad9c759b3a3d260b1774d4324a122290e06f28a9e4ee7eec66cdf7981cb",""
"1700","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería farmacosta","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","82,754.00","1b2d81deff1fda01ad794a0c2deba6d42cc4a25d818d4a579d460c3ec0819060cc84efbe3b9f2cfb04e11bd5592263c2",""
"1699","2021-12-30 06:50:00","Factura de Venta Nacional","Drogueria  zara G","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","63,000.00","d09851df8433e18ddfea1b117d99e910cfd22db9cf741d10bb3e582b3549693674d0cda26cb4d6b9592897160bc34126",""
"1698","2021-12-30 06:50:00","Factura de Venta Nacional","Droguería San José la 14","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","148,040.00","16abf55d7167a3d2bd52185e526e591657803caa8860790b8852df764feb27e333158d0c90dd554d6c9eb82a12404a79",""
"1697","2021-12-30 06:50:00","Factura de Venta Nacional","DROGUERIA OFERFARMA","Enviada a la DIAN","Pendiente","Efectivo","Contado","0","105,801.00","a8ded461c35c243f51846f4d3811548119d56c7555e4261c00e2dfa2e7452bbddc640749a36ab37ce8deb79854bcc694",""
